Subgrupo7_Desc,Subgrupo5_Desc,Subgrupo4_Desc,Subgrupo3_Desc,Grupo_Desc
B05DB91,B05DB - Soluciones hipertónicas                   ,B05D - SOLUCIONES PARA DIÁLISIS PERITONEAL        ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
J01GB06,J01GB - Otros aminoglucósidos                     ,J01G - AMINOGLUCÓSIDOS ANTIBACTERIANOS            ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
J01DD04,J01DD - Cefalosporinas de tercera generación      ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
B01AB04,B01AB - Grupo de la heparina                      ,B01A - AGENTES ANTITROMBÓTICOS                    ,B01 - AGENTES ANTITROMBÓTICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
06F03,06F03 - SONDA VESICAL BAJA FRICCION               ,06F0 - SONDA VESICAL                              ,06F - SONDA VESICAL                               ,0 - MATERIAL DE CURA Y SONDAS                     
A02BA02,A02BA - Antagonistas del receptor H2              ,A02B - AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLU,A02 - AGENTES PARA EL TRATAMIENTO DE ALTERACIONES ,A - TRACTO ALIMENTARIO Y METABOLISMO              
N06DA03,N06DA - Anticolinesterasas                        ,N06D - FÁRMACOS ANTI-DEMENCIA                     ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
R05CB01,R05CB - Mucolíticos                               ,"R05C - EXPECTORANTES, EXCLUYENDO COMBINACIONES CON",R05 - PREPARADOS PARA LA TOS Y EL RESFRIADO       ,R - SISTEMA RESPIRATORIO                          
L03AB07,L03AB - Interferones                              ,L03A - CITOKINAS E INMUNOMODULADORES              ,L03 - INMUNOESTIMULANTES                          ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
J01DD01,J01DD - Cefalosporinas de tercera generación      ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
N02BA51,N02BA - Ácido salicílico y derivados              ,N02B - OTROS ANALGÉSICOS Y ANTIPIRÉTICOS          ,N02 - ANALGÉSICOS                                 ,N - SISTEMA NERVIOSO                              
V03AG01,V03AG - Fármacos para el tratamiento de la hiperca,V03A - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03 - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS ,V - VARIOS                                        
V08DA91,V08DA - Medios de contraste para ultrasonido      ,V08D - MEDIOS DE CONTRASTE PARA ULTRASONIDO       ,V08 - MEDIOS DE CONTRASTE                         ,V - VARIOS                                        
N05BA01,N05BA - Derivados de la benzodiazepina            ,N05B - ANSIOLÍTICOS                               ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
L01BC02,L01BC - Análogos de las  pirimidinas              ,L01B - ANTIMETABOLITOS                            ,L01 - AGENTES ANTINEOPLÁSICOS                     ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
S01AE01,S01AE - FLUOROQUINOLONAS                          ,S01A - ANTIINFECCIOSOS                            ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
A11GB,"A11GB - Ácido ascórbico (vitamina C), combinacione","A11G - ÁCIDO ASCÓRBICO (VITAMINA C), INCLUYENDO CO",A11 - VITAMINAS                                   ,A - TRACTO ALIMENTARIO Y METABOLISMO              
B05BA10,B05BA - Soluciones para nutrición parenteral      ,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
J01FA10,J01FA - Macrólidos                                ,"J01F - MACRÓLIDOS, LINCOSAMIDAS Y ESTREPTOGRAMINAS",J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
J02AC01,J02AC - Derivados triazólicos                     ,J02A - ANTIMICÓTICOS PARA USO SISTÉMICO           ,J02 - ANTIMICÓTICOS PARA USO SISTÉMICO            ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
B05BA91,B05BA - Soluciones para nutrición parenteral      ,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
A10BB12,A10BB - Derivados de las sulfonilureas            ,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
24B03,24B03 - MEDIA LARGA (A-F) COMP FUERTE             ,24B0 - MEDIA LARGA (A-F)                          ,24B - MEDIA LARGA (A-F)                           ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
J01FA09,J01FA - Macrólidos                                ,"J01F - MACRÓLIDOS, LINCOSAMIDAS Y ESTREPTOGRAMINAS",J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
B05BA01,B05BA - Soluciones para nutrición parenteral      ,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
25B11,25B11 - BOLSAS ILEOST RES SINT MIC FIL            ,25B1 - BOLSAS ILEOST SIST DOBLE PLACA C-ESP       ,25B - BOLSAS ILEOSTOMÍA                           ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
B05BB92,B05BB - Soluciones que afectan el balance electrol,B05B - SOLUCIONES I.V.                            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
N03AB02,N03AB - Derivados de la hidantoína                ,N03A - ANTIEPILÉPTICOS                            ,N03 - ANTIEPILÉPTICOS                             ,N - SISTEMA NERVIOSO                              
J01MB05,J01MB - Otras quinolonas                          ,J01M - QUINOLONAS ANTIBACTERIANAS                 ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
J02AC02,J02AC - Derivados triazólicos                     ,J02A - ANTIMICÓTICOS PARA USO SISTÉMICO           ,J02 - ANTIMICÓTICOS PARA USO SISTÉMICO            ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
C08CA04,C08CA - Derivados de la  dihidropiridina          ,C08C - BLOQUEANTES SELECTIVOS DE CANALES DE CALCIO,C08 - BLOQUEANTES DE CANALES DE CALCIO            ,C - SISTEMA CARDIOVASCULAR                        
J01CR02,"J01CR - Combinaciones de penicilinas, incluyendo i","J01C - ANTIBACTERIANOS BETALACTÁMICOS, PENICILINAS",J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
26H01,26H01 - APOSITOS B OSTOM ARO RES SINT             ,26H0 - APOSITOS B OSTOM ARO                       ,26H - APOSITOS OSTOMIA                            ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
N06AB03,N06AB - Inhibidores selectivos de la recaptación d,N06A - ANTIDEPRESIVOS                             ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
R01BA52,R01BA - Simpaticomiméticos                        ,R01B - DESCONGESTIVOS NASALES PARA USO SISTÉMICO  ,R01 - PREPARADOS DE USO NASAL                     ,R - SISTEMA RESPIRATORIO                          
D03BA91,D03BA - Enzimas proteolíticas                     ,D03B - ENZIMAS                                    ,D03 - PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ,D - DERMATOLOGICOS                                
J01DD07,J01DD - Cefalosporinas de tercera generación      ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
J01DD14,J01DD - Cefalosporinas de tercera generación      ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
23C01,23C01 - ABSORB INC ORINA DIA RECTANGULAR          ,23C0 - ABSORBENTES INCONTINENCIA ORINA            ,23C - ABSORBENTES INCONTINENCIA ORINA             ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
R06AE07,R06AE - Derivados de la piperazina                ,R06A - ANTIHISTAMÍNICOS PARA USO SISTÉMICO        ,R06 - ANTIHISTAMÍNICOS PARA USO SISTÉMICO         ,R - SISTEMA RESPIRATORIO                          
A03AA07,"A03AA - Anticolinérgicos sintéticos, ésteres con g",A03A - AGENTES CONTRA PADECIMIENTOS FUNCIONALES DE,A03 - AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL,A - TRACTO ALIMENTARIO Y METABOLISMO              
06F01,06F01 - SONDA VESICAL SILICONA                    ,06F0 - SONDA VESICAL                              ,06F - SONDA VESICAL                               ,0 - MATERIAL DE CURA Y SONDAS                     
L02BA01,L02BA - Antiestrógenos                            ,L02B - ANTAGONISTAS DE HORMONAS Y AGENTES RELACION,L02 - TERAPIA ENDOCRINA                           ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
C01DA14,C01DA - Nitratos orgánicos                        ,C01D - VASODILATADORES USADOS EN ENFERMEDADES CARD,C01 - TERAPIA CARDÍACA                            ,C - SISTEMA CARDIOVASCULAR                        
H02AB02,H02AB - Glucocorticoides                          ,"H02A - CORTICOSTEROIDES PARA USO SISTÉMICO, MONOFÁ",H02 - CORTICOSTEROIDES PARA USO SISTÉMICO         ,"H - PREPARADOS HORMONALES SISTÉMICOS, EXCLUYENDO H"
N01AX10,N01AX - Otros anestésicos generales               ,N01A - ANESTÉSICOS GENERALES                      ,N01 - ANESTÉSICOS                                 ,N - SISTEMA NERVIOSO                              
V08AB08,V08AB - Medios de contraste para rayos-X de baja o,"V08A - MEDIOS DE CONTRASTE PARA RAYOS-X, IODADOS  ",V08 - MEDIOS DE CONTRASTE                         ,V - VARIOS                                        
23C04,23C04 - ABSORB INC ORINA NOC ANATOMICO            ,23C0 - ABSORBENTES INCONTINENCIA ORINA            ,23C - ABSORBENTES INCONTINENCIA ORINA             ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
N05CD08,N05CD - Derivados de la benzodiazepina            ,N05C - HIPNÓTICOS Y SEDANTES                      ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
M02AC,M02AC - Preparados con ácido salicílico y derivado,M02A - PRODUCTOS TÓPICOS PARA EL DOLOR ARTICULAR Y,M02 - PRODUCTOS TÓPICOS PARA EL DOLOR ARTICULAR Y ,M - SISTEMA MUSCULOESQUELÉTICO                    
23A01,23A01 - BOLSAS RECOGIDA ORINA PIERNA              ,23A0 - BOLSAS RECOGIDA ORINA                      ,23A - BOLSAS RECOGIDA ORINA                       ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
C09AA03,"C09AA - Inhibidores de la ECA, monofármacos       ","C09A - INHIBIDORES DE LA ECA, MONOFÁRMACOS        ",C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-A,C - SISTEMA CARDIOVASCULAR                        
F0000,F0000 - FORMULAS                                  ,F000 - FORMULAS                                   ,F00 - FÓRMULAS                                    ,F - FÓRMULAS                                      
M03BX07,M03BX - Otros agentes de acción central           ,M03B - AGENTES RELAJANTES MUSCULARES DE ACCIÓN CEN,M03 - RELAJANTES MUSCULARES                       ,M - SISTEMA MUSCULOESQUELÉTICO                    
H01AC01,H01AC - Somatotropina y agonistas de la somatotrop,H01A - HORMONAS DEL LÓBULO ANTERIOR DE LA HIPÓFISI,H01 - HORMONAS HIPOFISARIAS E HIPOTALÁMICAS Y SUS ,"H - PREPARADOS HORMONALES SISTÉMICOS, EXCLUYENDO H"
25B07,25B07 - BOLSAS ILEOST SIST DOBLE PLAC             ,25B0 - BOLSAS ILEOSTOMÍA                          ,25B - BOLSAS ILEOSTOMÍA                           ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
01C01,01C01 - ALGODON ZIG-ZAG PURO                      ,01C0 - ALGODÓN ZIG-ZAG                            ,01C - ALGODÓN ZIG-ZAG                             ,0 - MATERIAL DE CURA Y SONDAS                     
R03AK06,R03AK - Adrenérgicos y otros agentes contra padeci,"R03A - ADRENÉRGICOS, INHALATORIOS                 ",R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE,R - SISTEMA RESPIRATORIO                          
L01A,L01A - AGENTES ALQUILANTES                        ,L01A - AGENTES ALQUILANTES                        ,L01 - AGENTES ANTINEOPLÁSICOS                     ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
M01AC01,M01AC - Oxicams                                   ,M01A - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTIC,M01 - PRODUCTOS ANTIINFLAMATORIOS  Y ANTIRREUMÁTIC,M - SISTEMA MUSCULOESQUELÉTICO                    
