CIE10,literal_CIE10,BDCAP,literal_BDCAP,Cambio mapeo julio 18
A04.6,Enteritis debida a Yersinia enterocolitica,D70,Infección gastrointestinal,
A04.7,Enterocolitis debida a Clostridium difficile,D70,Infección gastrointestinal,
A04.8,Otras infecciones intestinales bacterianas especificadas,D70,Infección gastrointestinal,
A04.9,"Infección intestinal bacteriana, no especificada",D70,Infección gastrointestinal,
A05,Otras intoxicaciones alimentarias bacterianas,D73,Infección intestinal inespecífica/posible,
A05.0,Intoxicación alimentaria estafilocócica,D73,Infección intestinal inespecífica/posible,
A05.1,Botulismo,D73,Infección intestinal inespecífica/posible,
A05.2,Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii],D73,Infección intestinal inespecífica/posible,
A05.3,Intoxicación alimentaria debida a Vibrio parahaemolyticus,D73,Infección intestinal inespecífica/posible,
A05.4,Intoxicación alimentaria debida a Bacillus cereus,D73,Infección intestinal inespecífica/posible,
A05.8,Otras intoxicaciones alimentarias debidas a bacterias especificadas,D73,Infección intestinal inespecífica/posible,
A05.9,"Intoxicación alimentaria bacteriana, no especificada",D73,Infección intestinal inespecífica/posible,
A06,Amebiasis,D73,Infección intestinal inespecífica/posible,
A06.0,Disentería amebiana aguda,D70,Infección gastrointestinal,
A06.1,Amebiasis intestinal crónica,D70,Infección gastrointestinal,
A06.2,Colitis amebiana no disentérica,D70,Infección gastrointestinal,
A06.3,Ameboma intestinal,D70,Infección gastrointestinal,
A06.4,Absceso amebiano del hígado,D70,Infección gastrointestinal,
A06.5,Absceso amebiano del pulmón (J99.8*),R83,Otras infecciones respiratorias,
A06.6,Absceso amebiano del cerebro (G07*),N73,Otras infecciones del sistema nervioso,
A06.7,Amebiasis cutánea,S76,Otras infecciones de la piel,
A06.8,Infección amebiana de otras localizaciones,D70,Infección gastrointestinal,
A06.9,"Amebiasis, no especificada",D70,Infección gastrointestinal,
A07,Otras enfermedades intestinales debidas a protozoarios,D70,Infección gastrointestinal,
A07.0,Balantidiasis,D70,Infección gastrointestinal,
A07.1,Giardiasis [lambliasis],D70,Infección gastrointestinal,
A07.2,Criptosporidiosis,D70,Infección gastrointestinal,
A07.3,Isosporiasis,D70,Infección gastrointestinal,
A07.8,Otras enfermedades intestinales especificadas debidas a protozoarios,D70,Infección gastrointestinal,
A07.9,"Enfermedad intestinal debida a protozoarios, no especificada",D70,Infección gastrointestinal,
A08,Infecciones intestinales debidas a virus y otros organismos especificados,D70,Infección gastrointestinal,
A08.0,Enteritis debida a rotavirus,D70,Infección gastrointestinal,
A08.1,Gastroenteropatía aguda debida al agente de Norwalk,D70,Infección gastrointestinal,
A08.2,Enteritis debida a adenovirus,D70,Infección gastrointestinal,
A08.3,Otras enteritis virales,D70,Infección gastrointestinal,
A08.4,"Infección intestinal viral, sin otra especificación",D70,Infección gastrointestinal,
A08.5,Otras infecciones intestinales especificadas,D70,Infección gastrointestinal,
A09,Diarrea y gastroenteritis de presunto origen infeccioso,D73,Infección intestinal inespecífica/posible,
A15,"Tuberculosis respiratoria, confirmada bacteriológica e histológicamente",A70,Tuberculosis,
A15.0,"Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo",A70,Tuberculosis,
A15.1,"Tuberculosis del pulmón, confirmada únicamente por cultivo",A70,Tuberculosis,
A15.2,"Tuberculosis del pulmón, confirmada histológicamente",A70,Tuberculosis,
A15.3,"Tuberculosis del pulmón, confirmada por medios no especificados",A70,Tuberculosis,
A15.4,"Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente",A70,Tuberculosis,
A15.5,"Tuberculosis de laringe, tráquea y bronquios, confirmada bacteriológica e histológicamente",A70,Tuberculosis,
A15.6,"Pleuresía tuberculosa, confirmada bacteriológica e histológicamente",A70,Tuberculosis,
A15.7,"Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente",A70,Tuberculosis,
A15.8,"Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente",A70,Tuberculosis,
A15.9,"Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente",A70,Tuberculosis,
A16,"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente",A70,Tuberculosis,
A16.0,"Tuberculosis del pulmón, con examen bacteriológico e histológico negativos",A70,Tuberculosis,
A16.1,"Tuberculosis de pulmón, sin examen bacteriológico e histológico",A70,Tuberculosis,
A16.2,"Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica",A70,Tuberculosis,
A16.3,"Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica ",A70,Tuberculosis,
A16.4,"Tuberculosis de laringe, tráquea y bronquios, sin mención de confirmación bacteriológica o histológica",A70,Tuberculosis,
A16.5,"Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica",A70,Tuberculosis,
A16.7,"Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica",A70,Tuberculosis,
A16.8,"Otras tuberculosis respiratorias, sin mención de confirmación bacteriológica o histológica",A70,Tuberculosis,
A16.9,"Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica",A70,Tuberculosis,
A17,Tuberculosis del sistema nervioso,A70,Tuberculosis,
A17.0,Meningitis tuberculosa (G01*),A70,Tuberculosis,
A17.1,Tuberculoma meníngeo (G07*),A70,Tuberculosis,
A17.8,Otras tuberculosis del sistema nervioso,A70,Tuberculosis,
A17.9,"Tuberculosis del sistema nervioso, no especificada (G99.8*)",A70,Tuberculosis,
A18,Tuberculosis de otros órganos,A70,Tuberculosis,
A18.0,Tuberculosis de huesos y articulaciones,A70,Tuberculosis,
A18.1,Tuberculosis del aparato genitourinario,A70,Tuberculosis,
A18.2,Linfadenopatía periférica tuberculosa,A70,Tuberculosis,
A18.3,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos",A70,Tuberculosis,
A18.4,Tuberculosis de la piel y el tejido subcutáneo,A70,Tuberculosis,
A18.5,Tuberculosis del ojo,A70,Tuberculosis,
A18.6,Tuberculosis del oído,A70,Tuberculosis,
A18.7,Tuberculosis de glándulas suprarrenales (E35.1*),A70,Tuberculosis,
A18.8,Tuberculosis de otros órganos especificados,A70,Tuberculosis,
A19,Tuberculosis miliar,A70,Tuberculosis,
A19.0,Tuberculosis miliar aguda de un solo sitio especificado,A70,Tuberculosis,
A19.1,Tuberculosis miliar aguda de sitios múltiples,A70,Tuberculosis,
A19.2,"Tuberculosis miliar aguda, no especificada",A70,Tuberculosis,
A19.8,Otras tuberculosis miliares,A70,Tuberculosis,
A19.9,"Tuberculosis miliar, sin otra especificación",A70,Tuberculosis,
A20,Peste,A78,Otras enfermedades infecciosas no especificadas,
A20.0,Peste bubónica,A78,Otras enfermedades infecciosas no especificadas,
A20.1,Peste celulocutánea,A78,Otras enfermedades infecciosas no especificadas,
A20.2,Peste neumónica,A78,Otras enfermedades infecciosas no especificadas,
A20.3,Meningitis por peste,A78,Otras enfermedades infecciosas no especificadas,
A20.7,Peste septicémica,A78,Otras enfermedades infecciosas no especificadas,
A20.8,Otras formas de peste,A78,Otras enfermedades infecciosas no especificadas,
A20.9,"Peste, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A21,Tularemia,A78,Otras enfermedades infecciosas no especificadas,
A21.0,Tularemia ulceroglandular,A78,Otras enfermedades infecciosas no especificadas,
A21.1,Tularemia oculoglandular,A78,Otras enfermedades infecciosas no especificadas,
A21.2,Tularemia pulmonar,R83,Otras infecciones respiratorias,
A21.3,Tularemia gastrointestinal,A78,Otras enfermedades infecciosas no especificadas,
A21.7,Tularemia generalizada,A78,Otras enfermedades infecciosas no especificadas,
A21.8,Otras formas de tularemia,A78,Otras enfermedades infecciosas no especificadas,
A21.9,"Tularemia, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A22,Carbunco [ántrax],A78,Otras enfermedades infecciosas no especificadas,
A22.0,Carbunco cutáneo,S76,Otras infecciones de la piel,
A22.1,Carbunco pulmonar,R83,Otras infecciones respiratorias,
A22.2,Carbunco gastrointestinal,D70,Infección gastrointestinal,
A22.7,Carbunco septicémico,A78,Otras enfermedades infecciosas no especificadas,
A22.8,Otras formas de carbunco,A78,Otras enfermedades infecciosas no especificadas,
A22.9,"Carbunco, no especificado",A78,Otras enfermedades infecciosas no especificadas,
A23,Brucelosis,A78,Otras enfermedades infecciosas no especificadas,
A23.0,Brucelosis debida a Brucella melitensis,A78,Otras enfermedades infecciosas no especificadas,
A23.1,Brucelosis debida a Brucella abortus,A78,Otras enfermedades infecciosas no especificadas,
A23.2,Brucelosis debida a Brucella suis,A78,Otras enfermedades infecciosas no especificadas,
A23.3,Brucelosis debida a Brucella canis,A78,Otras enfermedades infecciosas no especificadas,
A23.8,Otras brucelosis,A78,Otras enfermedades infecciosas no especificadas,
A23.9,"Brucelosis, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A24,Muermo y melioidosis,A78,Otras enfermedades infecciosas no especificadas,
A24.0,Muermo,A78,Otras enfermedades infecciosas no especificadas,
A24.1,Melioidosis aguda y fulminante,A78,Otras enfermedades infecciosas no especificadas,
A24.2,Melioidosis subaguda y crónica,A78,Otras enfermedades infecciosas no especificadas,
A24.3,Otras melioidosis,A78,Otras enfermedades infecciosas no especificadas,
A24.4,"Melioidosis, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A25,Fiebres por mordedura de rata,A78,Otras enfermedades infecciosas no especificadas,
A25.0,Espirilosis,A78,Otras enfermedades infecciosas no especificadas,
A25.1,Estreptobacilosis,A78,Otras enfermedades infecciosas no especificadas,
A25.9,"Fiebre por mordedura de rata, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A26,Erisipeloide,A78,Otras enfermedades infecciosas no especificadas,
A26.0,Erisipeloide cutáneo,S76,Otras infecciones de la piel,
A26.7,Septicemia por Erysipelothrix,A78,Otras enfermedades infecciosas no especificadas,
A26.8,Otras formas de erisipeloide,A78,Otras enfermedades infecciosas no especificadas,
A26.9,"Erisipeloide, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A27,Leptospirosis,A78,Otras enfermedades infecciosas no especificadas,
A27.0,Leptospirosis icterohemorrágica,A78,Otras enfermedades infecciosas no especificadas,
A27.8,Otras formas de leptospirosis,A78,Otras enfermedades infecciosas no especificadas,
A27.9,"Leptospirosis, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A28,"Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte",A78,Otras enfermedades infecciosas no especificadas,
A28.0,Pasteurelosis,A78,Otras enfermedades infecciosas no especificadas,
A28.1,Enfermedad por rasguño de gato,A78,Otras enfermedades infecciosas no especificadas,
A28.2,Yersiniosis extraintestinal,A78,Otras enfermedades infecciosas no especificadas,
A28.8,"Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte",A78,Otras enfermedades infecciosas no especificadas,
A28.9,"Enfermedad zoonótica bacteriana, sin otra especificación",A78,Otras enfermedades infecciosas no especificadas,
A30,Lepra [enfermedad de Hansen],A78,Otras enfermedades infecciosas no especificadas,
A30.0,Lepra indeterminada,A78,Otras enfermedades infecciosas no especificadas,
A30.1,Lepra tuberculoide,A78,Otras enfermedades infecciosas no especificadas,
A30.2,Lepra tuberculoide limítrofe,A78,Otras enfermedades infecciosas no especificadas,
A30.3,Lepra limítrofe,A78,Otras enfermedades infecciosas no especificadas,
A30.4,Lepra lepromatosa limítrofe,A78,Otras enfermedades infecciosas no especificadas,
A30.5,Lepra lepromatosa,A78,Otras enfermedades infecciosas no especificadas,
A30.8,Otras formas de lepra,A78,Otras enfermedades infecciosas no especificadas,
A30.9,"Lepra, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A31,Infecciones debidas a otras micobacterias,A78,Otras enfermedades infecciosas no especificadas,
A31.0,Infecciones por micobacterias pulmonares,R83,Otras infecciones respiratorias,
A31.1,Infección cutánea por micobacterias,S76,Otras infecciones de la piel,
A31.8,Otras infecciones por micobacterias,A78,Otras enfermedades infecciosas no especificadas,
A31.9,"Infección por micobacteria, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A32,Listeriosis,A78,Otras enfermedades infecciosas no especificadas,
A32.0,Listeriosis cutánea,S76,Otras infecciones de la piel,
A32.1,Meningitis y meningoencefalitis listeriana,N71,Meningitis/encefalitis,
A32.7,Septicemia listeriana,A78,Otras enfermedades infecciosas no especificadas,
A32.8,Otras formas de listeriosis,A78,Otras enfermedades infecciosas no especificadas,
A32.9,"Listeriosis, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A33,Tétanos neonatal,N72,Tétanos,
A34,Tétanos obstétrico,N72,Tétanos,
A35,Otros tétanos,N72,Tétanos,
A36,Difteria,R83,Otras infecciones respiratorias,
A36.0,Difteria faríngea,R83,Otras infecciones respiratorias,
A36.1,Difteria nasofaríngea,R83,Otras infecciones respiratorias,
A36.2,Difteria laríngea,R83,Otras infecciones respiratorias,
A36.3,Difteria cutánea,S76,Otras infecciones de la piel,
A36.8,Otras difterias,R83,Otras infecciones respiratorias,
A36.9,"Difteria, no especificada",R83,Otras infecciones respiratorias,
A37,Tos ferina [tos convulsiva],R71,Tos ferina,
A37.0,Tos ferina debida a Bordetella pertussis,R71,Tos ferina,
A37.1,Tos ferina debida a Bordetella parapertussis,R71,Tos ferina,
A37.8,Tos ferina debida a otras especies de Bordetella,R71,Tos ferina,
A37.9,"Tos ferina, no especificada",R71,Tos ferina,
A38,Escarlatina,A78,Otras enfermedades infecciosas no especificadas,
A39,Enfermedad meningocócica,A78,Otras enfermedades infecciosas no especificadas,
A39.0,Meningitis meningocócica (G01*),N71,Meningitis/encefalitis,
A39.1,Síndrome de Waterhouse-Friderichsen (E35.1*),A78,Otras enfermedades infecciosas no especificadas,
A39.2,Meningococemia aguda,A78,Otras enfermedades infecciosas no especificadas,
A39.3,Meningococemia crónica,A78,Otras enfermedades infecciosas no especificadas,
A39.4,"Meningococemia, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A39.5,Enfermedad cardíaca debida a meningococo,K70,Enfermedades infecciosas cardiovasculares,
A39.8,Otras formas de enfermedad meningocócica,A78,Otras enfermedades infecciosas no especificadas,
A39.9,"Enfermedad meningocócica, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A40,Septicemia estreptocócica,A78,Otras enfermedades infecciosas no especificadas,
A40.0,"Septicemia debida a estreptococo, grupo A",A78,Otras enfermedades infecciosas no especificadas,
A40.1,"Septicemia debida a estreptococo, grupo B",A78,Otras enfermedades infecciosas no especificadas,
A40.2,"Septicemia debida a estreptococo, grupo D",A78,Otras enfermedades infecciosas no especificadas,
A40.3,Septicemia debida a Streptococcus pneumoniae,A78,Otras enfermedades infecciosas no especificadas,
A40.8,Otras septicemias estreptocócicas,A78,Otras enfermedades infecciosas no especificadas,
A40.9,"Septicemia estreptocócica, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A41,Otras septicemias,A78,Otras enfermedades infecciosas no especificadas,
A41.0,Septicemia debida a Staphylococcus aureus,A78,Otras enfermedades infecciosas no especificadas,
A41.1,Septicemia debida a otro estafilococo especificado,A78,Otras enfermedades infecciosas no especificadas,
A41.2,Septicemia debida a estafilococo no especificado,A78,Otras enfermedades infecciosas no especificadas,
A41.3,Septicemia debida a Haemophilus influenzae,A78,Otras enfermedades infecciosas no especificadas,
A41.4,Septicemia debida a anaerobios,A78,Otras enfermedades infecciosas no especificadas,
A41.5,Septicemia debida a otros organismos gramnegativos,A78,Otras enfermedades infecciosas no especificadas,
A41.8,Otras septicemias especificadas,A78,Otras enfermedades infecciosas no especificadas,
A41.9,"Septicemia, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A42,Actinomicosis,A78,Otras enfermedades infecciosas no especificadas,
A42.0,Actinomicosis pulmonar,R83,Otras infecciones respiratorias,
A42.1,Actinomicosis abdominal,A78,Otras enfermedades infecciosas no especificadas,
A42.2,Actinomicosis cervicofacial,A78,Otras enfermedades infecciosas no especificadas,
A42.7,Septicemia actinomicótica,A78,Otras enfermedades infecciosas no especificadas,
A42.8,Otras formas de actinomicosis,A78,Otras enfermedades infecciosas no especificadas,
A42.9,"Actinomicosis, sin otra especificación",A78,Otras enfermedades infecciosas no especificadas,
A43,Nocardiosis,A78,Otras enfermedades infecciosas no especificadas,
A43.0,Nocardiosis pulmonar,R83,Otras infecciones respiratorias,
A43.1,Nocardiosis cutánea,S76,Otras infecciones de la piel,
A43.8,Otras formas de nocardiosis,A78,Otras enfermedades infecciosas no especificadas,
A43.9,"Nocardiosis, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A44,Bartonelosis,A78,Otras enfermedades infecciosas no especificadas,
A44.0,Bartonelosis sistémica,A78,Otras enfermedades infecciosas no especificadas,
A44.1,Bartonelosis cutánea y mucocutánea,A78,Otras enfermedades infecciosas no especificadas,
A44.8,Otras formas de bartonelosis,A78,Otras enfermedades infecciosas no especificadas,
A44.9,"Bartonelosis, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A46,Erisipela,S76,Otras infecciones de la piel,
A48,"Otras enfermedades bacterianas, no clasificadas en otra parte",A78,Otras enfermedades infecciosas no especificadas,
A48.0,Gangrena gaseosa,A78,Otras enfermedades infecciosas no especificadas,
A48.1,Enfermedad de los legionarios,R81.01,Neumonía bacteriana,
A48.2,Enfermedad de los legionarios no neumónica [fiebre de Pontiac],A78,Otras enfermedades infecciosas no especificadas,
A48.3,Síndrome del choque tóxico,A78,Otras enfermedades infecciosas no especificadas,
A48.4,Fiebre purpúrica brasileña,A78,Otras enfermedades infecciosas no especificadas,
A48.8,Otras enfermedades bacterianas especificadas,A78,Otras enfermedades infecciosas no especificadas,
A49,Infección bacteriana de sitio no especificado,A78,Otras enfermedades infecciosas no especificadas,
A49.0,"Infección estafilocócica, de sitio no especificado",A78,Otras enfermedades infecciosas no especificadas,
A49.1,"Infección estreptocócica, de sitio no especificado",A78,Otras enfermedades infecciosas no especificadas,
A49.2,"Infección por Haemophilus influenzae, de sitio no especificado",A78,Otras enfermedades infecciosas no especificadas,
A49.3,"Infección por micoplasma, de sitio no especificado",A78,Otras enfermedades infecciosas no especificadas,
A49.8,"Otras infecciones bacterianas, de sitio no especificado",A78,Otras enfermedades infecciosas no especificadas,
A49.9,"Infección bacteriana, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A50,Sífilis congénita,YX70,Sífilis (X70+Y70),
A50.0,"Sífilis congénita precoz, sintomática",YX70,Sífilis (X70+Y70),
A50.1,"Sífilis congénita precoz, latente",YX70,Sífilis (X70+Y70),
A50.2,"Sífilis congénita precoz, sin otra especificación",YX70,Sífilis (X70+Y70),
A50.3,Oculopatía sifilítica congénita tardía,YX70,Sífilis (X70+Y70),
A50.4,Neurosífilis congénita tardía [neurosífilis juvenil],YX70,Sífilis (X70+Y70),
A50.5,"Otras formas de sífilis congénita tardía, sintomática",YX70,Sífilis (X70+Y70),
A50.6,"Sífilis congénita tardía, latente",YX70,Sífilis (X70+Y70),
A50.7,"Sífilis congénita tardía, sin otra especificación",YX70,Sífilis (X70+Y70),
A50.9,"Sífilis congénita, sin otra especificación",YX70,Sífilis (X70+Y70),
A51,Sífilis precoz,YX70,Sífilis (X70+Y70),
A51.0,Sífilis genital primaria,YX70,Sífilis (X70+Y70),
A51.1,Sífilis primaria anal,YX70,Sífilis (X70+Y70),
A51.2,Sífilis primaria en otros sitios,YX70,Sífilis (X70+Y70),
A51.3,Sífilis secundaria de piel y membranas mucosas,YX70,Sífilis (X70+Y70),
A51.4,Otras sífilis secundarias,YX70,Sífilis (X70+Y70),
A51.5,"Sífilis precoz, latente",YX70,Sífilis (X70+Y70),
A51.9,"Sífilis precoz, sin otra especificación",YX70,Sífilis (X70+Y70),
A52,Sífilis tardía,YX70,Sífilis (X70+Y70),
A52.0,Sífilis cardiovascular,YX70,Sífilis (X70+Y70),
A52.1,Neurosífilis sintomática,YX70,Sífilis (X70+Y70),
A52.2,Neurosífilis asintomática,YX70,Sífilis (X70+Y70),
A52.3,Neurosífilis no especificada,YX70,Sífilis (X70+Y70),
A52.7,Otras sífilis tardías sintomáticas,YX70,Sífilis (X70+Y70),
A52.8,"Sífilis tardía, latente",YX70,Sífilis (X70+Y70),
A52.9,"Sífilis tardía, no especificada",YX70,Sífilis (X70+Y70),
A53,Otras sífilis y las no especificadas,YX70,Sífilis (X70+Y70),
A53.0,"Sífilis latente, no especificada como precoz o tardía",YX70,Sífilis (X70+Y70),
A53.9,"Sífilis, no especificada",YX70,Sífilis (X70+Y70),
A54,Infección gonocócica,YX71,Gonorrea (X71+Y71),
A54.0,Infección gonocócica del tracto genitourinario inferior sin absceso periuretral o de glándula accesoria,YX71,Gonorrea (X71+Y71),
A54.1,Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias,YX71,Gonorrea (X71+Y71),
A54.2,Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias,YX71,Gonorrea (X71+Y71),
A54.3,Infección gonocócica del ojo,YX71,Gonorrea (X71+Y71),
A54.4,Infección gonocócica del sistema osteomuscular,YX71,Gonorrea (X71+Y71),
A54.5,Faringitis gonocócica,YX71,Gonorrea (X71+Y71),
A54.6,Infección gonocócica del ano y del recto,YX71,Gonorrea (X71+Y71),
A54.8,Otras infecciones gonocócicas,YX71,Gonorrea (X71+Y71),
A54.9,"Infección gonocócica, no especificada",YX71,Gonorrea (X71+Y71),
A55,Linfogranuloma (venéreo) por clamidias,YX99,Otras enfermedades del aparato genital/mamas (X99+Y99),
A56,Otras enfermedades de transmisión sexual debidas a clamidias,A78,Otras enfermedades infecciosas no especificadas,
A56.0,Infección del tracto genitourinario inferior debida a clamidias,A78,Otras enfermedades infecciosas no especificadas,
A56.1,Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias,A78,Otras enfermedades infecciosas no especificadas,
A56.2,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificación",A78,Otras enfermedades infecciosas no especificadas,
A56.3,Infección del ano y del recto debida a clamidias,D73,Infección intestinal inespecífica/posible,
A56.4,Infección de faringe debida a clamidias,R83,Otras infecciones respiratorias,
A56.8,Infección de transmisión sexual de otros sitios debida a clamidias,A78,Otras enfermedades infecciosas no especificadas,
A57,Chancro blando,YX99,Otras enfermedades del aparato genital/mamas (X99+Y99),
A58,Granuloma inguinal,YX99,Otras enfermedades del aparato genital/mamas (X99+Y99),
A59,Tricomoniasis,A78,Otras enfermedades infecciosas no especificadas,
A59.0,Tricomoniasis urogenital,YX73,Tricomoniasis urogenital (incluye X73),
A59.8,Tricomoniasis de otros sitios,A78,Otras enfermedades infecciosas no especificadas,
A59.9,"Tricomoniasis, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A60,Infección anogenital debida a virus del herpes [herpes simple],YX90,Herpes genital (X90+Y72),
A60.0,Infección de genitales y trayecto urogenital debida a virus del herpes [herpes simple],YX90,Herpes genital (X90+Y72),
A60.1,Infección de la piel perianal y recto por virus del herpes simple,YX90,Herpes genital (X90+Y72),
A60.9,"Infección anogenital por virus del herpes simple, sin otra especificación",YX90,Herpes genital (X90+Y72),
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas en otra parte",YX99,Otras enfermedades del aparato genital/mamas (X99+Y99),
A63.0,Verrugas (venéreas) anogenitales,YX91,Condiloma acuminado (X91+Y76),
A63.8,"Otras enfermedades de transmisión predominantemente sexual, especificadas",YX99,Otras enfermedades del aparato genital/mamas (X99+Y99),
A64,Enfermedad de transmisión sexual no especificada,A78,Otras enfermedades infecciosas no especificadas,
A65,Sífilis no venérea,YX70,Sífilis (X70+Y70),
A66,Frambesia,A78,Otras enfermedades infecciosas no especificadas,
A66.0,Lesiones iniciales de frambesia,A78,Otras enfermedades infecciosas no especificadas,
A66.1,Lesiones papilomatosas múltiples y frambesia con paso de cangrejo,A78,Otras enfermedades infecciosas no especificadas,
A66.2,Otras lesiones precoces de la piel en la frambesia,A78,Otras enfermedades infecciosas no especificadas,
A66.3,Hiperqueratosis de frambesia,A78,Otras enfermedades infecciosas no especificadas,
A66.4,Goma y úlceras de frambesia,A78,Otras enfermedades infecciosas no especificadas,
A66.5,Gangosa,A78,Otras enfermedades infecciosas no especificadas,
A66.6,Lesiones frambésicas de los huesos y de las articulaciones,A78,Otras enfermedades infecciosas no especificadas,
A66.7,Otras manifestaciones de frambesia,A78,Otras enfermedades infecciosas no especificadas,
A66.8,Frambesia latente,A78,Otras enfermedades infecciosas no especificadas,
A66.9,"Frambesia, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A67,Pinta [carate],A78,Otras enfermedades infecciosas no especificadas,
A67.0,Lesiones primarias de la pinta,A78,Otras enfermedades infecciosas no especificadas,
A67.1,Lesiones intermedias de la pinta,A78,Otras enfermedades infecciosas no especificadas,
A67.2,Lesiones tardías de la pinta ,A78,Otras enfermedades infecciosas no especificadas,
A67.3,Lesiones mixtas de la pinta,A78,Otras enfermedades infecciosas no especificadas,
A67.9,"Pinta, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A68,Fiebres recurrentes,A78,Otras enfermedades infecciosas no especificadas,
A68.0,Fiebre recurrente transmitida por piojos,A78,Otras enfermedades infecciosas no especificadas,
A68.1,Fiebre recurrente transmitida por garrapatas,A78,Otras enfermedades infecciosas no especificadas,
A68.9,"Fiebre recurrente, no especificada",A78,Otras enfermedades infecciosas no especificadas,
A69,Otras infecciones causadas por espiroquetas,A78,Otras enfermedades infecciosas no especificadas,
