CIE9,literal_CIE9,BDCAP,literal_BDCAP,https://www.sanidad.gob.es/estadEstudios/estadisticas/estadisticas/estMinisterio/SIAP/map_cie9mc_cie10_ciap2.htm
004,SHIGELOSIS,D70,Infección gastrointestinal,
004.0,SHIGELLA DYSENTERIAE,D70,Infección gastrointestinal,
004.1,SHIGELLA FLEXNERI,D70,Infección gastrointestinal,
004.2,SHIGELLA BOYDII,D70,Infección gastrointestinal,
004.3,SHIGELLA SONNEI,D70,Infección gastrointestinal,
004.8,OTRAS INFECCIONES POR SHIGELLA ESPECIFICADAS,D70,Infección gastrointestinal,
004.9,"SHIGELOSIS, SIN ESPECIFICAR",D70,Infección gastrointestinal,
005,OTRAS INTOXICACIONES ALIMENTICIAS (BACTERIANAS),D73,Infección intestinal inespecífica/posible,
005.0,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,D73,Infección intestinal inespecífica/posible,
005.1,INTOXICACION ALIMENTARIA BOTULINICA,D73,Infección intestinal inespecífica/posible,
005.2,INTOXICACION ALIMENTARIA POR CLOSTRIDIUM PERFRINGENS [C.WELCHII],D73,Infección intestinal inespecífica/posible,
005.3,INTOXICACION ALIMENTARIA DEBIDA A OTROS CLOSTRIDIA,D73,Infección intestinal inespecífica/posible,
005.4,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYCTICUS,D73,Infección intestinal inespecífica/posible,
005.8,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,D73,Infección intestinal inespecífica/posible,
005.81,INTOXICACION ALIMENTARIA DEBIDA A VIBRION VULNIFICUS,D73,Infección intestinal inespecífica/posible,
005.89,INTOXICACION ALIMENTARIA POR OTRAS BACTERIAS,D73,Infección intestinal inespecífica/posible,
005.9,INTOXICACION ALIMENTARIA NO ESPECIFICADA,D73,Infección intestinal inespecífica/posible,
006,AMEBIASIS,D70,Infección gastrointestinal,
006.0,DISENTERIA AMEBIANA AGUDA SIN ABSCESO,D70,Infección gastrointestinal,
006.1,AMEBIASIS INTESTINAL CRONICA SIN ABSCESO,D70,Infección gastrointestinal,
006.2,COLITIS AMEBIANA NO DISENTERICA,D70,Infección gastrointestinal,
006.3,ABSCESO AMEBIANO HEPATICO,D97,Enfermedades hepáticas no especificadas,
006.4,ABSCESO AMEBIANO PULMONAR,R83,Otras infecciones respiratorias,
006.5,ABSCESO AMEBIANO CEREBRAL,N73,Otras infecciones del sistema nervioso,
006.6,ULCERACION AMEBIANA CUTANEA,S76,Otras infecciones de la piel,
006.8,INFECCION AMEBIANA DE OTROS SITIOS,D70,Infección gastrointestinal,
006.9,"AMEBIASIS, SIN ESPECIFICAR",D70,Infección gastrointestinal,
007,OTRAS ENFERMEDADES INTESTINALES PROTOZOARIAS,D70,Infección gastrointestinal,
007.0,BALANTIDIASIS,D70,Infección gastrointestinal,
007.1,GIARDIASIS,D70,Infección gastrointestinal,
007.2,COCCIDIOSIS,D70,Infección gastrointestinal,
007.3,TRICOMONIASIS INTESTINAL,D70,Infección gastrointestinal,
007.4,CRIPTOSPORIDIOSIS,D70,Infección gastrointestinal,
007.5,CYCLOSPORIASIS,D70,Infección gastrointestinal,
007.8,OTRA ENFERMEDAD INTESTINAL PROTOZOARIA  ESPECIFICADA,D70,Infección gastrointestinal,
007.9,"ENFERMEDAD INTESTINAL PROTOZOARIA, SIN ESPECIFICAR",D70,Infección gastrointestinal,
008,INFECCIONES INTESTINALES POR OTROS ORGANISMOS,D70,Infección gastrointestinal,
008.0,ESCHERICHIA COLI (E. COLI),D70,Infección gastrointestinal,
008.00,INFECCION INTESTINAL POR E. COLI INESPECIFICO,D70,Infección gastrointestinal,
008.01,INFECCION INTESTINAL POR E. COLI ENTEROPATOGENICO,D70,Infección gastrointestinal,
008.02,INFECCION INTESTINAL POR E. COLI ENTEROTOXIGENICO,D70,Infección gastrointestinal,
008.03,INFECCION INTESTINAL POR E. COLI ENTEROINVASIVO,D70,Infección gastrointestinal,
008.04,INFECCION INTESTINAL POR E. COLI ENTEROHEMORRAGICO,D70,Infección gastrointestinal,
008.09,OTRAS INFECCIONES INTESTINALES POR E. COLI,D70,Infección gastrointestinal,
008.1,INFECCION INTESTINAL POR GRUPO ARIZONA DE BACILOS DEL PARACOLON,D70,Infección gastrointestinal,
008.2,INFECCION INTESTINAL POR AEROBACTER AEROGENES,D70,Infección gastrointestinal,
008.3,INFECCION INTESTINAL POR PROTEUS (MIRABILIS) (MORGANII),D70,Infección gastrointestinal,
008.4,INFECCION INTESTINAL POR OTRAS BACTERIAS ESPECIFICADAS INTESTINALES,D70,Infección gastrointestinal,
008.41,INFECCION INTESTINAL POR ENTERITIS ESTAFILOCOCOS,D70,Infección gastrointestinal,
008.42,INFECCION INTESTINAL POR PSEUDOMONAS,D70,Infección gastrointestinal,
008.43,INFECCION INTESTINAL POR  CAMPYLOBACTER,D70,Infección gastrointestinal,
008.44,INFECCION INTESTINAL POR YERSINIA ENTEROCOLITICA,D70,Infección gastrointestinal,
008.45,INFECCION INTESTINAL POR ENTERITIS CLOSTRIDEUM DIFFICILE,D70,Infección gastrointestinal,
008.46,INFECCION INTESTINAL POR OTROS ANAEROBIOS,D70,Infección gastrointestinal,
008.47,INFECCION INTESTINAL POR OTRAS BACTERIAS GRAM NEGATIVOS,D70,Infección gastrointestinal,
008.49,INFECCION INTESTINAL POR OTRAS BACTERIAS ESPCIFICADAS EN INFECCIONES INTESTINALES,D70,Infección gastrointestinal,
008.5,"ENTERITIS BACTERIANA, SIN ESPECIFICAR",D70,Infección gastrointestinal,
008.6,ENTERITIS VIRICA ESPECIFICADA,D70,Infección gastrointestinal,
008.61,ENTERITIS POR ROTAVIRUS,D70,Infección gastrointestinal,
008.62,ENTERITIS POR ADENOVIRUS,D70,Infección gastrointestinal,
008.63,ENTERITIS POR VIRUS DE NORWALK,D70,Infección gastrointestinal,
008.64,ENTERITIS POR OTROS VIRUS REDONDOS DE TAMAÑO PEQUEÑO [SRV],D70,Infección gastrointestinal,
008.65,ENTERITIS POR CALICIVIRUS,D70,Infección gastrointestinal,
008.66,ENTERITIS POR ASTROVIRUS,D70,Infección gastrointestinal,
008.67,ENTEROVIRUS NCOC,D70,Infección gastrointestinal,
008.69,OTRAS ENTERITIS VIRALES,D70,Infección gastrointestinal,
008.8,"OTRO ORGANISMO, NO CLASIFICADO BAJO OTRO CONCEPTO",D70,Infección gastrointestinal,
009,INFECCIONES INTESTINALES MAL DEFINIDAS,D73,Infección intestinal inespecífica/posible,
009.0,"COLITIS, ENTERITIS Y GASTROENTERITIS INFECCIOSAS",D73,Infección intestinal inespecífica/posible,
009.1,"COLITIS, ENTERITIS Y GASTROENTERITIS ORIGEN PRESUMIBLEMENTE INFECCIOSO",D73,Infección intestinal inespecífica/posible,
009.2,DIARREA INFECCIOSA,D73,Infección intestinal inespecífica/posible,
009.3,DIARREA ORIGEN PRESUMIBLEMENTE INFECCIOSO,D73,Infección intestinal inespecífica/posible,
010,INFECCION TBC PRIMARIA,A70,Tuberculosis,
010.0,INFECCION TBC PRIMARIA,A70,Tuberculosis,
010.00,INFECCION TBC PRIMARIA NEOM,A70,Tuberculosis,
010.01,INFECCION TBC PRIMARIA NO EXAMEN,A70,Tuberculosis,
010.02,INFECCION TBC PRIMARIA EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
010.03,INFECCION TBC PRIMARIA DGCO.POR MICROSCOPIA,A70,Tuberculosis,
010.04,INFECCION TBC PRIMARIA DGCO.POR CULTIVO,A70,Tuberculosis,
010.05,INFECCION TBC PRIMARIA DGCO.POR HISTOLOGIA,A70,Tuberculosis,
010.06,INFECCION TBC PRIMARIA DGCO.POR OTROS TESTS,A70,Tuberculosis,
010.1,PLEURESIA EN TBC PRIMARIA,A70,Tuberculosis,
010.10,PLEURESIA EN TBC PRIMARIA NEOM,A70,Tuberculosis,
010.11,PLEURESIA EN TBC PRIMARIA NO EXAMEN,A70,Tuberculosis,
010.12,PLEURESIA EN TBC PRIMARIA EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
010.13,PLEURESIA EN TBC PRIMARIA DGCO.POR MICROSCOP.,A70,Tuberculosis,
010.14,PLEURESIA EN TBC PRIMARIA DGCO.POR CULTIVO,A70,Tuberculosis,
010.15,PLEURESIA EN TBC PRIMARIA DGCO.POR HISTOLOGIA,A70,Tuberculosis,
010.16,PLEURESIA EN TBC PRIMARIA DGCO.POR OTROS TEST,A70,Tuberculosis,
010.8,TBC PROGRESIVA PRIMARIA,A70,Tuberculosis,
010.80,TBC PROGRESIVA PRIMARIA  NEOM,A70,Tuberculosis,
010.81,TBC PROGRESIVA PRIMARIA  NO EXAMEN,A70,Tuberculosis,
010.82,TBC PROGRESIVA PRIMARIA  EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
010.83,TBC PROGRESIVA PRIMARIA  DGCO.MICROSCOPIA,A70,Tuberculosis,
010.84,TBC PROGRESIVA PRIMARIA  DGCO.CULTIVO,A70,Tuberculosis,
010.85,TBC PROGRESIVA PRIMARIA  DGCO.HISTOLOGIA,A70,Tuberculosis,
010.86,TBC PROGRESIVA PRIMARIA  DGCO.OTROS TEST,A70,Tuberculosis,
010.9,"TBC PRIMARIA, SIN ESPECIFICAR",A70,Tuberculosis,
010.90,TBC PRIMARIA NEOM NEOM,A70,Tuberculosis,
010.91,TBC PRIMARIA NEOM NO EXAMEN,A70,Tuberculosis,
010.92,TBC PRIMARIA NEOM EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
010.93,TBC PRIMARIA NEOM DGCO.POR MICROSCOPIA,A70,Tuberculosis,
010.94,TBC PRIMARIA NEOM DGCO.POR CULTIVO,A70,Tuberculosis,
010.95,TBC PRIMARIA NEOM DGCO.POR HISTOLOGIA,A70,Tuberculosis,
010.96,TBC PRIMARIA NEOM DGCO.POR OTROS TESTS,A70,Tuberculosis,
011,TBC PULMONAR,A70,Tuberculosis,
011.0,TBC PULMONAR INFILTRATIVA,A70,Tuberculosis,
011.00,TBC PULMONAR INFILTRATIVA NEOM,A70,Tuberculosis,
011.01,TBC PULMONAR INFILTRATIVA NO EXAMEN,A70,Tuberculosis,
011.02,TBC PULMONAR INFILTRATIVA EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.03,TBC PULMONAR INFILTRATIVA DGCO.POR MICROSCOP.,A70,Tuberculosis,
011.04,TBC PULMONAR INFILTRATIVA DGCO.POR CULTIVO,A70,Tuberculosis,
011.05,TBC PULMONAR INFILTRATIVA DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.06,TBC PULMONAR INFILTRATIVA DGCO.POR OTROS TEST,A70,Tuberculosis,
011.1,TBC PULMONAR NODULAR,A70,Tuberculosis,
011.10,TBC PULMONAR NODULAR NEOM,A70,Tuberculosis,
011.11,TBC PULMONAR NODULAR NO EXAMEN,A70,Tuberculosis,
011.12,TBC PULMONAR NODULAR EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.13,TBC PULMONAR NODULAR DGCO.POR MICROSCOPIA,A70,Tuberculosis,
011.14,TBC PULMONAR NODULAR DGCO.POR CULTICO,A70,Tuberculosis,
011.15,TBC PULMONAR NODULAR DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.16,TBC PULMONAR NODULAR DGCO.POR OTROS TESTS,A70,Tuberculosis,
011.2,TBC PULMONAR CAVITADA,A70,Tuberculosis,
011.20,TBC PULMONAR CAVITADA NEOM,A70,Tuberculosis,
011.21,TBC PULMONAR CAVITADA NO EXAMEN,A70,Tuberculosis,
011.22,TBC PULMONAR CAVITADA EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.23,TBC PULMONAR CAVITADA DGCO.POR MICROSCOPIA,A70,Tuberculosis,
011.24,TBC PULMONAR CAVITADA DGCO.POR CULTIVO,A70,Tuberculosis,
011.25,TBC PULMONAR CAVITADA DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.26,TBC PULMONAR CAVITADA DGCO.POR OTROS TESTS,A70,Tuberculosis,
011.3,TBC BRONQUIAL,A70,Tuberculosis,
011.30,TBC BRONQUIAL NEOM,A70,Tuberculosis,
011.31,TBC BRONQUIAL NO EXAMEN,A70,Tuberculosis,
011.32,TBC BRONQUIAL EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.33,TBC BRONQUIAL DGCO.POR MICROSCOPIA,A70,Tuberculosis,
011.34,TBC BRONQUIAL DGCO.POR CULTIVO,A70,Tuberculosis,
011.35,TBC BRONQUIAL DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.36,TBC BRONQUIAL DGCO.POR OTROS TESTS,A70,Tuberculosis,
011.4,FIBROSIS TUBERCULOSA DEL PULMON,A70,Tuberculosis,
011.40,FIBROSIS TUBERCULOSA DEL PULMON NEOM,A70,Tuberculosis,
011.41,FIBROSIS TUBERCULOSA DEL PULMON NO EXAMEN,A70,Tuberculosis,
011.42,FIBROSIS TUBERCULOSA DEL PULMON EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.43,FIBROSIS TUBERCULOSA DEL PULMON DGCO.POR MICROSCOPIA,A70,Tuberculosis,
011.44,FIBROSIS TUBERCULOSA DEL PULMON DGCO.POR CULTIVO,A70,Tuberculosis,
011.45,FIBROSIS TUBERCULOSA DEL PULMON DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.46,FIBROSIS TUBERCULOSA DEL PULMON DGCO.POR OTROS TESTS,A70,Tuberculosis,
011.5,BRONQUIECTASIA TBC,A70,Tuberculosis,
011.50,BRONQUIECTASIA TBC NEOM,A70,Tuberculosis,
011.51,BRONQUIECTASIA TBC NO EXAMEN,A70,Tuberculosis,
011.52,BRONQUIECTASIA TBC EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.53,BRONQUIECTASIA TBC DGCO.POR MICROSCOPIA,A70,Tuberculosis,
011.54,BRONQUIECTASIA TBC DGCO.POR CULTIVO,A70,Tuberculosis,
011.55,BRONQUIECTASIA TBC DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.56,BRONQUIECTASIA TBC DGCO.POR OTROS TESTS,A70,Tuberculosis,
011.6,NEUMONIA TBC(CUALQUIER FORMA),A70,Tuberculosis,
011.60,NEUMONIA TBC NEOM,A70,Tuberculosis,
011.61,NEUMONIA TBC NO EXAMEN,A70,Tuberculosis,
011.62,NEUMONIA TBC EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.63,NEUMONIA TBC DGCO.POR MICROSCOPIA,A70,Tuberculosis,
011.64,NEUMONIA TBC DGCO.POR CULTIVO,A70,Tuberculosis,
011.65,NEUMONIA TBC DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.66,NEUMONIA TBC DGCO.POR OTROS TESTS,A70,Tuberculosis,
011.7,NEUMOTORAX TBC,A70,Tuberculosis,
011.70,NEUMOTORAX TBC NEOM,A70,Tuberculosis,
011.71,NEUMOTORAX TBC NO EXAMEN,A70,Tuberculosis,
011.72,NEUMOTORAX TBC EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.73,NEUMOTORAX TBC DGCO.POR MICROSCOPIA,A70,Tuberculosis,
011.74,NEUMOTORAX TBC DGCO.POR CULTIVO,A70,Tuberculosis,
011.75,NEUMOTORAX TBC DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.76,NEUMOTORAX TBC DGCO.POR OTROS TESTS,A70,Tuberculosis,
011.8,OTRAS TUBERCULOSIS PULMONARES ESPECIFICAS,A70,Tuberculosis,
011.80,OTRAS TUBERCULOSIS PULMONARES ESPECIFICAS NEOM,A70,Tuberculosis,
011.81,OTRAS TUBERCULOSIS PULMONARES ESPECIFICAS NO EXAMEN,A70,Tuberculosis,
011.82,OTRAS TUBERCULOSIS PULMONARES ESPECIFICAS EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.83,OTRAS TUBERCULOSIS PULMONARES ESPECIFICAS DGCO.POR MICROSCOP,A70,Tuberculosis,
011.84,OTRAS TUBERCULOSIS PULMONARES ESPECIFICAS DGCO.POR CULTIVO,A70,Tuberculosis,
011.85,OTRAS TUBERCULOSIS PULMONARES ESPECIFICAS DGCO.POR HISTOLOG.,A70,Tuberculosis,
011.86,OTRAS TUBERCULOSIS PULMONARES ESPECIFICA DGCO.POR OTROS TEST,A70,Tuberculosis,
011.9,"TBC PULMONAR, SIN ESPECIFICAR",A70,Tuberculosis,
011.90,TBC PULMONAR NEOM NEOM,A70,Tuberculosis,
011.91,TBC PULMONAR NEOM NO EXAMEN,A70,Tuberculosis,
011.92,TBC PULMONAR NEOM EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
011.93,TBC PULMONAR NEOM DGCO.POR MICROCOPIA,A70,Tuberculosis,
011.94,TBC PULMONAR NEOM DGCO.POR CULTIVO,A70,Tuberculosis,
011.95,TBC PULMONAR NEOM DGCO.POR HISTOLOGIA,A70,Tuberculosis,
011.96,TBC PULMONAR NEOM DGCO.POR OTROS TESTS,A70,Tuberculosis,
012,OTRAS TBC RESPIRATORIAS,A70,Tuberculosis,
012.0,PLEURESIA TBC,A70,Tuberculosis,
012.00,PLEURESIA TBC NEOM,A70,Tuberculosis,
012.01,PLEURESIA TBC NO EXAMEN,A70,Tuberculosis,
012.02,PLEURESIA TBC EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
012.03,PLEURESIA TBC DGCO.POR MICROSCOPIA,A70,Tuberculosis,
012.04,PLEURESIA TBC DGCO.POR CULTIVO,A70,Tuberculosis,
012.05,PLEURESIA TBC DGCO.POR HISTOLOGIA,A70,Tuberculosis,
012.06,PLEURESIA TBC DGCO.POR OTROS TESTS,A70,Tuberculosis,
012.1,TBC GANGLIOS LINF.INTRATORACICOS,A70,Tuberculosis,
012.10,TBC GANGLIOS LINF.INTRATORACICOS NEOM,A70,Tuberculosis,
012.11,TBC GANGLIOS LINF.INTRATORACICOS NO EXAMEN,A70,Tuberculosis,
012.12,TBC GANGLIOS LINF.INTRATORACICOS EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
012.13,TBC GANGLIOS LINF.INTRATORACICOS DGCO.POR MICROSCOPIA,A70,Tuberculosis,
012.14,TBC GANGLIOS LINF.INTRATORACICOS DGCO.POR CULTIVO,A70,Tuberculosis,
012.15,TBC GANGLIOS LINF.INTRATORACICOS DGCO.POR HISTOLOGIA,A70,Tuberculosis,
012.16,TBC GANGLIOS LINF.INTRATORACICOS DGCO.POR OTROS TESTS,A70,Tuberculosis,
012.2,TBC TRAQUEAL/BRONQUIAL AISLADA,A70,Tuberculosis,
012.20,TBC TRAQUEAL/BRONQUIAL AISLADA NEOM,A70,Tuberculosis,
012.21,TBC TRAQUEAL/BRONQUIAL AISLADA NO EXAMEN,A70,Tuberculosis,
012.22,TBC TRAQUEAL/BRONQUIAL AISLADA EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
012.23,TBC TRAQUEAL/BRONQUIAL AISLADA DGCO.POR MICROSCOPIA,A70,Tuberculosis,
012.24,TBC TRAQUEAL/BRONQUIAL AISLADA DGCO.POR CULTIVO,A70,Tuberculosis,
012.25,TBC TRAQUEAL/BRONQUIAL AISLADA DGCO.POR HISTOLOGIA,A70,Tuberculosis,
012.26,TBC TRAQUEAL/BRONQUIAL AISLADA DGCO.POR OTROS TESTS,A70,Tuberculosis,
012.3,LARINGITIS TBC,A70,Tuberculosis,
012.30,LARINGITIS TBC NEOM,A70,Tuberculosis,
012.31,LARINGITIS TBC NO EXAMEN,A70,Tuberculosis,
012.32,LARINGITIS TBC EXAMEN,A70,Tuberculosis,
012.33,LARINGITIS TBC DGCO.POR MICROSCOPIA,A70,Tuberculosis,
012.34,LARINGITIS TBC DGCO.POR CULTIVO,A70,Tuberculosis,
012.35,LARINGITIS TBC DGCO.POR HISTOLOGIA,A70,Tuberculosis,
012.36,LARINGITIS TBC DGCO.POR OTROS TESTS,A70,Tuberculosis,
012.8,OTRAS TBC RESPIRATORIAS ESPECIFICADAS,A70,Tuberculosis,
012.80,OTRAS TBC RESPIRATORIAS ESPECIFICADAS NEOM,A70,Tuberculosis,
012.81,OTRAS TBC RESPIRATORIAS ESPECIFICADAS NO EXAMEN,A70,Tuberculosis,
012.82,OTRAS TBC RESPIRATORIAS ESPECIFICADAS EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
012.83,OTRAS TBC RESPIRATORIAS ESPECIFICADAS DGCO.POR MICROSCOPIA,A70,Tuberculosis,
012.84,OTRAS TBC RESPIRATORIAS ESPECIFICADAS DGCO.POR CULTIVO,A70,Tuberculosis,
012.85,OTRAS TBC RESPIRATORIAS ESPECIFICADAS DGCO.POR HISTOLOGIA,A70,Tuberculosis,
012.86,OTRAS TBC RESPIRATORIAS ESPECIFICADAS DGCO.POR OTROS TESTS,A70,Tuberculosis,
013,TUBERCULOSIS SNC Y MENINGES,A70,Tuberculosis,
013.0,MENINGITIS TBC,A70,Tuberculosis,
013.00,MENINGITIS TBC NEOM,A70,Tuberculosis,
013.01,MENINGITIS TBC NO EXAMEN,A70,Tuberculosis,
013.02,MENINGITIS TBC EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
013.03,MENINGITIS TBC DGCO.POR MICROSCOPIA,A70,Tuberculosis,
013.04,MENINGITIS TBC DGCO.POR CULTIVO,A70,Tuberculosis,
013.05,MENINGITIS TBC DGCO.POR HISTOLOGIA,A70,Tuberculosis,
013.06,MENINGITIS TBC DGCO.POR OTROS TESTS,A70,Tuberculosis,
013.1,TUBERCULOMA MENINGEO,A70,Tuberculosis,
013.10,TUBERCULOMA MENINGEO NEOM,A70,Tuberculosis,
013.11,TUBERCULOMA MENINGEO NO EXAMEN,A70,Tuberculosis,
013.12,TUBERCULOMA MENINGEO EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
013.13,TUBERCULOMA MENINGEO DGCO.POR MICROSCOPIA,A70,Tuberculosis,
013.14,TUBERCULOMA MENINGEO DGCO.POR CULTIVO,A70,Tuberculosis,
013.15,TUBERCULOMA MENINGEO DGCO.POR HISTOLOGIA,A70,Tuberculosis,
013.16,TUBERCULOMA MENINGEO DGCO.POR OTROS TESTS,A70,Tuberculosis,
013.2,TUBERCULOMA CEREBRAL,A70,Tuberculosis,
013.20,TUBERCULOMA CEREBRAL NEOM,A70,Tuberculosis,
013.21,TUBERCULOMA CEREBRAL NO EXAMEN,A70,Tuberculosis,
013.22,TUBERCULOMA CEREBRAL EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
013.23,TUBERCULOMA CEREBRAL DGCO.POR MICROSCOPIA,A70,Tuberculosis,
013.24,TUBERCULOMA CEREBRAL DGCO.POR CULTIVO,A70,Tuberculosis,
013.25,TUBERCULOMA CEREBRAL DGCO.POR HISTOLOGIA,A70,Tuberculosis,
013.26,TUBERCULOMA CEREBRAL DGCO.POR OTROS TESTS,A70,Tuberculosis,
013.3,ABSCESO TBC CEREBRAL,A70,Tuberculosis,
013.30,ABSCESO TBC CEREBRAL NEOM,A70,Tuberculosis,
013.31,ABSCESO TBC CEREBRAL NO EXAMEN,A70,Tuberculosis,
013.32,ABSCESO TBC CEREBRAL EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
013.33,ABSCESO TBC CEREBRAL DGCO.POR MICROSCOPIA,A70,Tuberculosis,
013.34,ABSCESO TBC CEREBRAL DGCO.POR CULTIVO,A70,Tuberculosis,
013.35,ABSCESO TBC CEREBRAL DGCO.POR HISTOLOGIA,A70,Tuberculosis,
013.36,ABSCESO TBC CEREBRAL DGCO.POR OTROS TESTS,A70,Tuberculosis,
013.4,TUBERCULOMA MEDULA ESPINAL,A70,Tuberculosis,
013.40,TUBERCULOMA MEDULA ESPINAL NEOM,A70,Tuberculosis,
013.41,TUBERCULOMA MEDULA ESPINAL NO EXAMEN,A70,Tuberculosis,
013.42,TUBERCULOMA MEDULA ESPINAL EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
013.43,TUBERCULOMA MEDULA ESPINAL DGCO.POR MICROSCOP,A70,Tuberculosis,
013.44,TUBERCULOMA MEDULA ESPINAL DGCO.POR CULTIVO,A70,Tuberculosis,
013.45,TUBERCULOMA MEDULA ESPINAL DGCO.POR HISTOLOG.,A70,Tuberculosis,
013.46,TUBERCULOMA MEDULA ESPINAL DGCO.OTROS TESTS,A70,Tuberculosis,
013.5,ABSCESO TBC MEDULA ESPINAL,A70,Tuberculosis,
013.50,ABSCESO TBC MEDULA ESPINAL NEOM,A70,Tuberculosis,
013.51,ABSCESO TBC MEDULA ESPINAL NO EXAMEN,A70,Tuberculosis,
013.52,ABSCESO TBC MEDULA ESPINAL EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
013.53,ABSCESO TBC MEDULA ESPINAL DGCO.POR MICROSCOP,A70,Tuberculosis,
013.54,ABSCESO TBC MEDULA ESPINAL DGCO.POR CULTIVO,A70,Tuberculosis,
013.55,ABSCESO TBC MEDULA ESPINAL DGCO.POR HISTOLOG.,A70,Tuberculosis,
013.56,ABSCESO TBC MEDULA ESPINAL DGCO.OTROS TESTS,A70,Tuberculosis,
013.6,ENCEFALITIS/MIELITIS TBC,A70,Tuberculosis,
013.60,ENCEFALITIS/MIELITIS TBC NEOM,A70,Tuberculosis,
013.61,ENCEFALITIS/MIELITIS TBC NO EXAMEN,A70,Tuberculosis,
013.62,ENCEFALITIS/MIELITIS TBC EXAMEN RESULTADO DESCONOCIDO,A70,Tuberculosis,
013.63,ENCEFALITIS/MIELITIS TBC DGCO.POR MICROSCOPIA,A70,Tuberculosis,
013.64,ENCEFALITIS/MIELITIS TBC DGCO.POR CULTIVO,A70,Tuberculosis,
